                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4305,                0.89884,                0.97975,                 0.5102,                0.98214,                0.82843,                0.52466,                 1.3967,                 3.8526,                0.93351,              0.0007423,              0.0007423,              0.0007423
                     51,                 2.1013,                  1.053,                 1.0454,                0.64806,                0.92076,                0.84294,                0.52373,                 1.3961,                 3.3045,                0.93628,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.3181,                0.87579,                 1.0015,                0.64806,                0.92076,                0.84294,                0.52373,                 1.3961,                 3.3045,                0.93628,              0.0007625,              0.0007625,              0.0007625
                     53,                 1.5738,                 1.0013,                0.96389,                0.64806,                0.92076,                0.84294,                0.52373,                 1.3961,                 3.3045,                0.93628,              0.0007723,              0.0007723,              0.0007723
                     54,                 1.6205,                 1.0557,                 1.0063,                0.54724,                0.94643,                0.85159,                0.46426,                 1.5283,                 3.5563,                0.97936,             0.00078191,             0.00078191,             0.00078191
                     55,                 1.4066,                0.85881,                0.99774,                0.54724,                0.94643,                0.85159,                0.46426,                 1.5283,                 3.5563,                0.97936,             0.00079132,             0.00079132,             0.00079132
                     56,                 1.4789,                0.87651,                 0.9894,                0.54724,                0.94643,                0.85159,                0.46426,                 1.5283,                 3.5563,                0.97936,             0.00080053,             0.00080053,             0.00080053
                     57,                 1.4489,                0.91219,                0.95169,                0.48752,                      1,                0.86071,                0.52343,                 1.4337,                  4.014,                0.94538,             0.00080954,             0.00080954,             0.00080954
                     58,                   1.59,                0.82949,                0.95405,                0.48752,                      1,                0.86071,                0.52343,                 1.4337,                  4.014,                0.94538,             0.00081835,             0.00081835,             0.00081835
                     59,                 1.2691,                0.81095,                0.92724,                0.48752,                      1,                0.86071,                0.52343,                 1.4337,                  4.014,                0.94538,             0.00082696,             0.00082696,             0.00082696
                     60,                 1.4332,                0.78086,                0.93275,                0.50929,                      1,                0.83727,                 0.5201,                 1.3955,                 3.4437,                0.92248,             0.00083538,             0.00083538,             0.00083538
                     61,                 1.2485,                0.78509,                0.99354,                0.50929,                      1,                0.83727,                 0.5201,                 1.3955,                 3.4437,                0.92248,              0.0008436,              0.0008436,              0.0008436
                     62,                 1.3139,                0.78361,                0.95108,                0.50929,                      1,                0.83727,                 0.5201,                 1.3955,                 3.4437,                0.92248,             0.00085162,             0.00085162,             0.00085162
                     63,                 1.3995,                0.78173,                0.95177,                0.54382,                0.96429,                0.83241,                0.53497,                 1.3259,                 2.9076,                0.89987,             0.00085944,             0.00085944,             0.00085944
                     64,                 1.2248,                0.73943,                0.93073,                0.54382,                0.96429,                0.83241,                0.53497,                 1.3259,                 2.9076,                0.89987,             0.00086707,             0.00086707,             0.00086707
                     65,                 1.3206,                 1.1222,                 1.0855,                0.54382,                0.96429,                0.83241,                0.53497,                 1.3259,                 2.9076,                0.89987,              0.0008745,              0.0008745,              0.0008745
                     66,                  1.612,                0.90705,                0.95216,                0.48371,                0.88673,                0.53882,                0.35129,                 1.2675,                 2.9006,                0.89015,             0.00088173,             0.00088173,             0.00088173
                     67,                 1.2759,                0.74194,                0.93858,                0.48371,                0.88673,                0.53882,                0.35129,                 1.2675,                 2.9006,                0.89015,             0.00088876,             0.00088876,             0.00088876
                     68,                 1.4292,                0.76147,                0.93502,                0.48371,                0.88673,                0.53882,                0.35129,                 1.2675,                 2.9006,                0.89015,             0.00089559,             0.00089559,             0.00089559
                     69,                 1.2165,                0.78664,                 0.9389,                0.37935,                  0.875,                 0.3892,                0.22468,                 1.4362,                 4.0063,                0.92105,             0.00090222,             0.00090222,             0.00090222
                     70,                 1.4326,                0.76529,                0.93213,                0.37935,                  0.875,                 0.3892,                0.22468,                 1.4362,                 4.0063,                0.92105,             0.00090866,             0.00090866,             0.00090866
                     71,                 1.3779,                0.76575,                0.97312,                0.37935,                  0.875,                 0.3892,                0.22468,                 1.4362,                 4.0063,                0.92105,              0.0009149,              0.0009149,              0.0009149
                     72,                 1.1898,                0.76285,                0.91745,                0.36374,                0.85714,                0.36563,                0.16863,                  1.834,                 3.7894,                 0.9889,             0.00092094,             0.00092094,             0.00092094
                     73,                 1.7596,                0.86088,                 1.0624,                0.36374,                0.85714,                0.36563,                0.16863,                  1.834,                 3.7894,                 0.9889,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.3179,                0.73899,                0.92102,                0.36374,                0.85714,                0.36563,                0.16863,                  1.834,                 3.7894,                 0.9889,             0.00093243,             0.00093243,             0.00093243
                     75,                 1.6941,                0.83529,                 1.0576,                0.45485,                0.82143,                0.49044,                0.28618,                 1.5603,                  2.883,                0.93157,             0.00093788,             0.00093788,             0.00093788
                     76,                 1.3103,                0.83978,                0.94503,                0.45485,                0.82143,                0.49044,                0.28618,                 1.5603,                  2.883,                0.93157,             0.00094313,             0.00094313,             0.00094313
                     77,                 1.2798,                0.79544,                0.92897,                0.45485,                0.82143,                0.49044,                0.28618,                 1.5603,                  2.883,                0.93157,             0.00094818,             0.00094818,             0.00094818
                     78,                 1.3365,                0.85098,                0.98195,                0.49862,                0.69643,                0.60004,                0.36156,                 1.2925,                 2.2705,                0.89238,             0.00095303,             0.00095303,             0.00095303
                     79,                 1.4363,                0.79003,                0.96984,                0.49862,                0.69643,                0.60004,                0.36156,                 1.2925,                 2.2705,                0.89238,             0.00095768,             0.00095768,             0.00095768
                     80,                 1.7665,                0.91097,                0.99167,                0.49862,                0.69643,                0.60004,                0.36156,                 1.2925,                 2.2705,                0.89238,             0.00096214,             0.00096214,             0.00096214
                     81,                 1.6029,                0.87119,                0.98269,                0.30782,                0.69643,                 0.3065,                0.19807,                 1.3231,                 2.3102,                0.89676,              0.0009664,              0.0009664,              0.0009664
                     82,                 1.2659,                0.84776,                0.94037,                0.30782,                0.69643,                 0.3065,                0.19807,                 1.3231,                 2.3102,                0.89676,             0.00097046,             0.00097046,             0.00097046
                     83,                  1.243,                0.77116,                0.98217,                0.30782,                0.69643,                 0.3065,                0.19807,                 1.3231,                 2.3102,                0.89676,             0.00097432,             0.00097432,             0.00097432
                     84,                 1.2564,                0.79202,                 0.9986,                0.37782,                0.73214,                0.37581,                0.22206,                 1.4697,                 2.3291,                  0.937,             0.00097799,             0.00097799,             0.00097799
                     85,                 1.2037,                0.76002,                0.92485,                0.37782,                0.73214,                0.37581,                0.22206,                 1.4697,                 2.3291,                  0.937,             0.00098146,             0.00098146,             0.00098146
                     86,                 1.1774,                0.69944,                0.92858,                0.37782,                0.73214,                0.37581,                0.22206,                 1.4697,                 2.3291,                  0.937,             0.00098472,             0.00098472,             0.00098472
                     87,                 1.2665,                0.80972,                0.96877,                0.37782,                0.73214,                0.37581,                0.22206,                 1.4697,                 2.3291,                  0.937,              0.0009878,              0.0009878,              0.0009878
                     88,                 1.3462,                0.76072,                 1.0448,                0.66698,                   0.75,                 0.7476,                0.47181,                 1.3728,                 1.4865,                0.92147,             0.00099067,             0.00099067,             0.00099067
                     89,                 1.3536,                0.79759,                0.93946,                0.66698,                   0.75,                 0.7476,                0.47181,                 1.3728,                 1.4865,                0.92147,             0.00099334,             0.00099334,             0.00099334
                     90,                 1.2734,                0.71175,                0.94118,                0.66698,                   0.75,                 0.7476,                0.47181,                 1.3728,                 1.4865,                0.92147,             0.00099582,             0.00099582,             0.00099582
                     91,                 1.0958,                0.78628,                0.94474,                0.66698,                   0.75,                 0.7476,                0.47181,                 1.3728,                 1.4865,                0.92147,              0.0009981,              0.0009981,              0.0009981
                     92,                 1.2668,                0.72381,                0.98377,                0.68988,                0.85714,                0.81374,                0.52806,                 1.3397,                 1.2048,                0.90792,              0.0010002,              0.0010002,              0.0010002
                     93,                 1.3298,                0.75317,                0.92143,                0.68988,                0.85714,                0.81374,                0.52806,                 1.3397,                 1.2048,                0.90792,              0.0010021,              0.0010021,              0.0010021
                     94,                 1.2335,                 0.7662,                0.92822,                0.68988,                0.85714,                0.81374,                0.52806,                 1.3397,                 1.2048,                0.90792,              0.0010037,              0.0010037,              0.0010037
                     95,                 1.3701,                0.75155,                0.91869,                0.68988,                0.85714,                0.81374,                0.52806,                 1.3397,                 1.2048,                0.90792,              0.0010052,              0.0010052,              0.0010052
                     96,                 1.1907,                0.72378,                0.93565,                0.71743,                0.85714,                0.75999,                0.40734,                 1.6709,                 1.5491,                0.95596,              0.0010065,              0.0010065,              0.0010065
                     97,                 1.2028,                0.73179,                0.93086,                0.71743,                0.85714,                0.75999,                0.40734,                 1.6709,                 1.5491,                0.95596,              0.0010076,              0.0010076,              0.0010076
                     98,                 1.4305,                 0.8276,                 0.9106,                0.71743,                0.85714,                0.75999,                0.40734,                 1.6709,                 1.5491,                0.95596,              0.0010085,              0.0010085,              0.0010085
                     99,                 1.2755,                0.77772,                0.96544,                0.71743,                0.85714,                0.75999,                0.40734,                 1.6709,                 1.5491,                0.95596,              0.0010092,              0.0010092,              0.0010092
                    100,                 1.2605,                0.87048,                0.95351,                0.53908,                0.85629,                0.56145,                0.29499,                 1.6183,                 1.5848,                0.93831,              0.0010097,              0.0010097,              0.0010097
                    101,                 1.2593,                  0.747,                0.92004,                0.53908,                0.85629,                0.56145,                0.29499,                 1.6183,                 1.5848,                0.93831,                0.00101,                0.00101,                0.00101
                    102,                 1.2726,                0.77841,                0.94461,                0.53908,                0.85629,                0.56145,                0.29499,                 1.6183,                 1.5848,                0.93831,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2073,                0.76214,                 0.9538,                0.53908,                0.85629,                0.56145,                0.29499,                 1.6183,                 1.5848,                0.93831,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.2549,                0.77319,                0.91893,                0.53299,                0.83929,                0.55307,                0.36954,                 1.2456,                 1.3342,                 0.8793,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.1995,                0.71304,                0.92386,                0.53299,                0.83929,                0.55307,                0.36954,                 1.2456,                 1.3342,                 0.8793,              0.0009704,              0.0009704,              0.0009704
