                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3173,                 1.0016,                 1.0586,                0.57974,                 0.6444,                0.62646,                0.38056,                 1.4786,                 1.2268,                 1.1839,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.3246,                0.97292,                 1.0611,                0.62042,                0.64288,                0.64247,                0.40347,                 1.4291,                 1.1828,                 1.1698,               0.001505,               0.001505,               0.001505
                     52,                 1.3171,                0.97197,                 1.0578,                0.63654,                0.63221,                0.63768,                0.39047,                  1.461,                  1.198,                 1.1833,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.3151,                 0.9815,                 1.0518,                0.62409,                  0.625,                0.64035,                0.40429,                 1.4113,                 1.2034,                 1.1617,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.3038,                0.97159,                 1.0544,                0.64583,                0.56897,                0.62172,                0.38991,                 1.4322,                 1.2006,                 1.1774,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2995,                0.99148,                 1.0513,                0.59202,                0.65049,                0.63455,                 0.4032,                 1.4191,                 1.1823,                 1.1655,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.2953,                0.96458,                 1.0497,                0.64933,                0.59261,                0.63111,                0.40084,                 1.4183,                 1.2139,                 1.1655,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.2788,                0.94334,                  1.039,                 0.6338,                0.62105,                0.64059,                0.40349,                 1.4315,                 1.2145,                 1.1737,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.2696,                0.98551,                 1.0386,                0.61188,                0.63027,                0.63258,                0.39684,                 1.4288,                 1.2159,                 1.1725,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2821,                0.94369,                 1.0499,                0.63571,                0.62392,                0.63751,                0.40233,                 1.4261,                 1.2195,                 1.1799,              0.0014258,              0.0014258,              0.0014258
                     60,                  1.277,                0.93896,                  1.045,                0.63326,                0.60453,                0.63861,                0.40557,                 1.4139,                 1.1858,                 1.1711,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2804,                0.95024,                 1.0418,                0.62187,                0.64978,                0.64291,                0.40937,                 1.4291,                 1.1639,                  1.168,               0.001406,               0.001406,               0.001406
                     62,                 1.2749,                  0.936,                 1.0438,                0.63547,                 0.6199,                 0.6385,                0.39966,                 1.4283,                 1.1715,                 1.1711,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2923,                0.93205,                 1.0474,                0.60862,                0.65086,                0.63801,                 0.4037,                 1.4467,                 1.1902,                 1.1797,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3074,                0.94094,                 1.0514,                0.62849,                0.62177,                0.64212,                0.39854,                 1.4437,                 1.1317,                  1.184,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2937,                0.92882,                 1.0428,                0.64127,                0.63147,                0.65256,                0.40975,                 1.4264,                  1.197,                 1.1663,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.2554,                0.91302,                 1.0296,                0.64371,                0.58406,                0.62282,                0.39873,                 1.4248,                 1.1996,                 1.1848,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2724,                0.91391,                 1.0372,                0.61101,                0.60991,                0.62465,                 0.3942,                 1.4293,                 1.1974,                 1.1725,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.2489,                0.90395,                 1.0295,                0.62434,                0.61607,                0.64131,                0.40454,                 1.4305,                  1.184,                 1.1887,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.276,                  0.922,                 1.0371,                0.61999,                0.64547,                0.64603,                0.40667,                 1.4208,                 1.1951,                 1.1692,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.2648,                0.90214,                 1.0396,                 0.6252,                0.63092,                0.63827,                0.40444,                 1.4199,                 1.1721,                 1.1773,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2294,                0.88633,                  1.022,                0.64918,                0.60237,                0.64078,                0.40149,                 1.4223,                 1.1739,                 1.1731,               0.001307,               0.001307,               0.001307
                     72,                 1.2545,                0.89729,                 1.0326,                0.65469,                0.59453,                0.62713,                0.39795,                 1.4288,                 1.1866,                 1.1812,              0.0012971,              0.0012971,              0.0012971
                     73,                  1.272,                0.91087,                 1.0257,                0.62545,                 0.6056,                0.62229,                0.39549,                 1.4269,                 1.2205,                 1.1654,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2522,                0.89303,                 1.0287,                 0.6405,                0.60092,                0.63604,                0.40317,                   1.41,                 1.1726,                  1.164,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2585,                0.89016,                 1.0275,                0.64289,                0.61315,                0.63204,                0.40121,                  1.408,                 1.2141,                 1.1677,              0.0012674,              0.0012674,              0.0012674
                     76,                   1.24,                0.88274,                 1.0213,                0.62783,                0.61315,                0.62983,                0.39382,                 1.4379,                 1.1935,                 1.1759,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.2334,                0.87792,                 1.0252,                0.63749,                0.62177,                0.62949,                0.40313,                 1.4156,                 1.1863,                 1.1834,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.2254,                 0.8748,                 1.0196,                0.61468,                0.64118,                0.64096,                0.40459,                 1.4248,                 1.1853,                 1.1714,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.2491,                0.88893,                 1.0178,                 0.6458,                0.58943,                0.62909,                0.39922,                 1.4288,                 1.1865,                 1.1791,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.2437,                  0.899,                 1.0185,                0.63368,                0.60991,                0.61609,                0.38926,                 1.4407,                 1.2667,                  1.186,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.2336,                0.86398,                 1.0141,                0.59094,                0.63901,                0.63351,                0.39969,                 1.4385,                 1.2042,                 1.1771,               0.001208,               0.001208,               0.001208
                     82,                 1.2424,                0.88325,                 1.0398,                0.64324,                0.60345,                0.64048,                 0.4042,                 1.4398,                 1.1796,                  1.185,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2392,                0.87503,                 1.0194,                0.68714,                0.58297,                0.63995,                0.40499,                 1.4263,                 1.1672,                 1.1774,              0.0011882,              0.0011882,              0.0011882
                     84,                  1.229,                0.85498,                 1.0224,                0.63802,                0.60129,                0.63615,                0.40249,                 1.4518,                 1.1793,                 1.1872,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.2421,                0.86172,                 1.0212,                0.69024,                0.55927,                0.64428,                0.40819,                 1.4431,                  1.166,                 1.1828,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.2055,                0.84503,                 1.0115,                0.61593,                0.64763,                0.64623,                0.41473,                 1.4253,                 1.1574,                 1.1822,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2072,                0.83637,                 1.0133,                0.64328,                0.60237,                0.63599,                0.41196,                 1.4206,                 1.1812,                 1.1706,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.1893,                0.86185,                 1.0011,                0.68534,                0.57267,                 0.6398,                0.40406,                 1.4281,                 1.1779,                 1.1809,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.2097,                0.84852,                 1.0133,                0.66647,                0.58728,                0.63094,                0.40235,                 1.4122,                 1.1833,                 1.1669,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2239,                0.84925,                 1.0057,                0.62397,                0.61099,                0.63704,                0.40143,                 1.4326,                 1.1814,                 1.1756,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.2014,                0.82308,                 1.0019,                0.66618,                0.58082,                0.63926,                0.40437,                 1.4317,                 1.1757,                  1.166,               0.001109,               0.001109,               0.001109
                     92,                 1.2201,                0.88817,                 1.0095,                0.64197,                0.58297,                0.61778,                0.39247,                 1.4347,                 1.2384,                 1.1804,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.2249,                0.84112,                 1.0096,                0.64275,                0.59483,                0.62919,                 0.3966,                 1.4258,                 1.2069,                 1.1738,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1826,                  0.826,                 1.0002,                0.68803,                0.58225,                0.64037,                0.41112,                 1.4153,                 1.1822,                 1.1813,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.1851,                0.82146,                0.99513,                0.64893,                0.60155,                0.62418,                0.39505,                 1.4505,                 1.2141,                 1.1833,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.1905,                0.82064,                 1.0037,                0.64303,                0.58622,                0.61936,                0.39629,                   1.42,                 1.2018,                 1.1788,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.1813,                0.81204,                 1.0016,                 0.6203,                0.59914,                0.63277,                0.40259,                 1.4155,                 1.2235,                 1.1777,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.1737,                0.79615,                 1.0035,                0.65892,                0.58944,                0.64088,                0.40812,                 1.4293,                 1.1853,                 1.1748,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1829,                0.79774,                 1.0014,                0.65356,                0.58344,                0.62434,                 0.4023,                   1.42,                 1.1939,                 1.1727,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.1966,                0.81612,                 1.0036,                0.65791,                0.59375,                0.61973,                0.39854,                 1.4134,                 1.2287,                 1.1713,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.1931,                 0.8045,                  1.002,                0.69663,                0.54634,                0.61718,                0.39833,                 1.4382,                 1.2343,                 1.1767,                0.00101,                0.00101,                0.00101
                    102,                 1.1758,                0.80933,                0.99811,                0.66584,                0.59159,                0.63098,                0.40458,                 1.4268,                 1.2096,                  1.172,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.1777,                0.80665,                0.99277,                0.64107,                0.60668,                0.62547,                0.40169,                 1.4278,                  1.224,                 1.1777,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.1725,                0.79783,                0.99827,                0.66752,                0.60022,                 0.6234,                0.39707,                 1.4334,                 1.2331,                 1.1865,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.1792,                0.79864,                 1.0002,                0.68134,                0.58082,                0.62361,                0.39934,                 1.4201,                 1.1988,                 1.1835,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.1526,                0.81586,                0.99794,                0.68446,                0.56801,                0.62093,                0.39763,                 1.4156,                 1.2124,                 1.1677,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.1634,                 0.8636,                0.97969,                0.67583,                 0.5819,                0.63536,                0.40442,                 1.4269,                 1.1981,                 1.1776,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.1792,                0.79979,                0.98897,                0.64625,                0.61222,                 0.6328,                0.40393,                 1.4289,                 1.1886,                 1.1743,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.1625,                0.78612,                 0.9952,                0.67192,                0.58485,                  0.631,                 0.3973,                 1.4586,                 1.1824,                 1.1842,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.1553,                 0.7888,                0.98661,                0.63253,                0.61746,                0.62731,                0.39571,                 1.4481,                 1.1726,                 1.1846,              0.0009209,              0.0009209,              0.0009209
                    111,                   1.17,                0.79049,                0.99057,                0.65273,                0.58536,                0.62247,                0.39073,                 1.4367,                 1.1955,                 1.1825,               0.000911,               0.000911,               0.000911
                    112,                 1.1479,                0.77822,                0.98295,                0.61632,                0.64224,                0.63262,                0.39953,                 1.4285,                 1.1925,                 1.1882,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.1538,                0.76927,                0.98361,                0.64921,                0.59698,                0.62659,                0.39714,                 1.4311,                 1.1869,                 1.1767,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.1692,                0.83715,                0.98735,                0.68359,                 0.5634,                0.62169,                0.39508,                 1.4331,                 1.2107,                 1.1808,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.1655,                0.88181,                0.98451,                0.66254,                0.59591,                0.62591,                0.39747,                 1.4353,                 1.1987,                 1.1802,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.1553,                0.77917,                0.98848,                0.66335,                0.60237,                0.62793,                0.39847,                 1.4301,                 1.2024,                 1.1808,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.1312,                0.76429,                0.97672,                0.64384,                0.61207,                0.61874,                 0.3938,                   1.43,                 1.2215,                 1.1781,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.1533,                0.76735,                0.97894,                0.64888,                0.60668,                0.61328,                 0.3917,                 1.4293,                 1.2242,                 1.1821,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.1393,                0.75603,                0.98747,                0.63101,                0.62287,                0.62852,                0.39737,                 1.4307,                 1.1994,                 1.1868,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.1539,                0.76314,                0.98196,                 0.6305,                0.61853,                0.62126,                0.39624,                 1.4321,                 1.2064,                 1.1856,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1249,                0.75423,                0.97174,                0.61829,                0.61853,                0.61799,                0.39172,                 1.4477,                 1.1947,                 1.1903,               0.000812,               0.000812,               0.000812
                    122,                 1.1477,                0.76535,                0.97737,                0.63945,                0.60453,                0.61546,                0.39088,                 1.4356,                 1.2191,                  1.179,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.1286,                0.75014,                0.97296,                0.68371,                0.57004,                0.62483,                  0.399,                 1.4254,                 1.2071,                 1.1767,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.1296,                0.75392,                0.97749,                0.62959,                0.60129,                 0.6232,                0.39698,                 1.4345,                 1.2073,                 1.1832,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.1277,                0.75067,                0.97889,                0.64564,                0.58621,                0.61981,                0.39357,                 1.4323,                  1.201,                 1.1899,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.1269,                0.75785,                0.97102,                0.64355,                0.61672,                 0.6265,                0.39888,                  1.429,                 1.2113,                 1.1837,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1225,                0.74222,                0.97595,                0.66083,                0.60453,                0.62603,                0.39701,                 1.4381,                 1.2158,                 1.1895,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.1399,                0.75359,                0.98104,                0.64404,                0.59591,                0.61998,                0.39373,                  1.444,                  1.228,                 1.1837,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.1253,                0.75641,                0.97659,                0.63421,                0.60022,                0.61668,                0.38962,                 1.4471,                 1.2326,                 1.1854,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.1231,                0.72851,                0.97243,                0.66268,                0.58836,                0.61867,                0.39217,                 1.4455,                 1.2271,                 1.1909,              0.0007229,              0.0007229,              0.0007229
                    131,                  1.125,                 0.7393,                 0.9759,                0.62983,                0.62177,                0.62607,                0.39874,                  1.436,                 1.1986,                 1.1841,               0.000713,               0.000713,               0.000713
                    132,                 1.1147,                0.72728,                0.97277,                0.67065,                0.59052,                0.62219,                 0.3942,                 1.4458,                 1.2161,                 1.1903,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.1155,                 1.0051,                0.95943,                0.68468,                0.57094,                0.62554,                0.39637,                 1.4406,                 1.2098,                 1.1902,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.1135,                0.73632,                0.97655,                0.66439,                0.60158,                0.62497,                0.39948,                 1.4355,                 1.2173,                 1.1875,              0.0006833,              0.0006833,              0.0006833
