                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.1537,                0.95969,                 1.0157,                0.64682,                0.54902,                 0.6152,                0.24069,                 2.2508,                0.93858,                 1.0454,             0.00086707,             0.00086707,             0.00086707
                     65,                 2.3274,                 1.0009,                 1.0393,                0.64682,                0.54902,                 0.6152,                0.24069,                 2.2508,                0.93858,                 1.0454,              0.0008745,              0.0008745,              0.0008745
                     66,                 2.1791,                0.96781,                 1.0255,                0.64869,                0.54118,                0.61061,                0.23712,                 2.2695,                0.92806,                 1.0447,             0.00088173,             0.00088173,             0.00088173
                     67,                 2.1385,                0.96497,                 1.0616,                0.64869,                0.54118,                0.61061,                0.23712,                 2.2695,                0.92806,                 1.0447,             0.00088876,             0.00088876,             0.00088876
                     68,                 2.1226,                0.93724,                 1.0357,                0.64869,                0.54118,                0.61061,                0.23712,                 2.2695,                0.92806,                 1.0447,             0.00089559,             0.00089559,             0.00089559
                     69,                  2.148,                0.95028,                 1.0354,                0.66295,                0.55536,                0.61679,                0.23585,                 2.2714,                0.92249,                 1.0431,             0.00090222,             0.00090222,             0.00090222
                     70,                 2.1477,                0.96594,                 1.0337,                0.66295,                0.55536,                0.61679,                0.23585,                 2.2714,                0.92249,                 1.0431,             0.00090866,             0.00090866,             0.00090866
                     71,                 2.1762,                0.94847,                  1.048,                0.66295,                0.55536,                0.61679,                0.23585,                 2.2714,                0.92249,                 1.0431,              0.0009149,              0.0009149,              0.0009149
                     72,                 2.0548,                0.95401,                 1.0569,                0.59685,                0.59608,                0.61325,                0.23952,                   2.26,                0.91654,                 1.0393,             0.00092094,             0.00092094,             0.00092094
                     73,                 2.1219,                0.99761,                 1.0455,                0.59685,                0.59608,                0.61325,                0.23952,                   2.26,                0.91654,                 1.0393,             0.00092678,             0.00092678,             0.00092678
                     74,                 2.0632,                0.93087,                 1.0249,                0.59685,                0.59608,                0.61325,                0.23952,                   2.26,                0.91654,                 1.0393,             0.00093243,             0.00093243,             0.00093243
                     75,                 2.1163,                0.94556,                 1.0601,                0.62291,                0.60784,                0.62866,                0.25006,                 2.2227,                0.89825,                 1.0335,             0.00093788,             0.00093788,             0.00093788
                     76,                  2.124,                0.93893,                 1.0157,                0.62291,                0.60784,                0.62866,                0.25006,                 2.2227,                0.89825,                 1.0335,             0.00094313,             0.00094313,             0.00094313
                     77,                 2.0853,                0.92543,                 1.0379,                0.62291,                0.60784,                0.62866,                0.25006,                 2.2227,                0.89825,                 1.0335,             0.00094818,             0.00094818,             0.00094818
                     78,                  2.087,                0.99283,                 1.0314,                0.63704,                0.61176,                0.63993,                0.25768,                 2.1909,                 0.8752,                 1.0269,             0.00095303,             0.00095303,             0.00095303
                     79,                 2.3485,                0.98296,                 1.0098,                0.63704,                0.61176,                0.63993,                0.25768,                 2.1909,                 0.8752,                 1.0269,             0.00095768,             0.00095768,             0.00095768
                     80,                 2.1582,                0.94724,                 1.0521,                0.63704,                0.61176,                0.63993,                0.25768,                 2.1909,                 0.8752,                 1.0269,             0.00096214,             0.00096214,             0.00096214
                     81,                 2.0341,                0.90142,                 1.0368,                0.65066,                0.62745,                0.64721,                0.26067,                 2.1828,                0.86217,                 1.0247,              0.0009664,              0.0009664,              0.0009664
                     82,                 2.0713,                 0.9254,                 1.0484,                0.65066,                0.62745,                0.64721,                0.26067,                 2.1828,                0.86217,                 1.0247,             0.00097046,             0.00097046,             0.00097046
                     83,                 2.0891,                0.92286,                 1.0314,                0.65066,                0.62745,                0.64721,                0.26067,                 2.1828,                0.86217,                 1.0247,             0.00097432,             0.00097432,             0.00097432
                     84,                 2.1123,                 0.9264,                 1.0126,                0.68485,                 0.6221,                0.65851,                0.26363,                 2.1827,                0.85691,                  1.022,             0.00097799,             0.00097799,             0.00097799
                     85,                 2.2622,                0.96352,                0.99376,                0.68485,                 0.6221,                0.65851,                0.26363,                 2.1827,                0.85691,                  1.022,             0.00098146,             0.00098146,             0.00098146
                     86,                 2.1419,                0.92505,                  1.049,                0.68485,                 0.6221,                0.65851,                0.26363,                 2.1827,                0.85691,                  1.022,             0.00098472,             0.00098472,             0.00098472
                     87,                  2.072,                0.91654,                0.99644,                0.68485,                 0.6221,                0.65851,                0.26363,                 2.1827,                0.85691,                  1.022,              0.0009878,              0.0009878,              0.0009878
                     88,                 2.1912,                0.92536,                 1.0232,                0.69768,                0.62444,                0.67368,                0.26434,                 2.2061,                0.86755,                 1.0231,             0.00099067,             0.00099067,             0.00099067
                     89,                 2.2969,                0.98095,                 1.0061,                0.69768,                0.62444,                0.67368,                0.26434,                 2.2061,                0.86755,                 1.0231,             0.00099334,             0.00099334,             0.00099334
                     90,                 2.1012,                 0.9093,                 1.0316,                0.69768,                0.62444,                0.67368,                0.26434,                 2.2061,                0.86755,                 1.0231,             0.00099582,             0.00099582,             0.00099582
                     91,                 2.0077,                0.88343,                  1.056,                0.69768,                0.62444,                0.67368,                0.26434,                 2.2061,                0.86755,                 1.0231,              0.0009981,              0.0009981,              0.0009981
                     92,                 1.9892,                0.88573,                 1.0049,                0.71075,                0.62745,                0.68581,                0.27164,                 2.2097,                0.86338,                 1.0227,              0.0010002,              0.0010002,              0.0010002
                     93,                 2.2727,                0.96966,                 0.9992,                0.71075,                0.62745,                0.68581,                0.27164,                 2.2097,                0.86338,                 1.0227,              0.0010021,              0.0010021,              0.0010021
                     94,                 2.2522,                0.95554,                 1.0082,                0.71075,                0.62745,                0.68581,                0.27164,                 2.2097,                0.86338,                 1.0227,              0.0010037,              0.0010037,              0.0010037
                     95,                 2.0478,                0.90129,                 1.0131,                0.71075,                0.62745,                0.68581,                0.27164,                 2.2097,                0.86338,                 1.0227,              0.0010052,              0.0010052,              0.0010052
                     96,                 2.1774,                0.93835,                 1.0602,                0.70979,                0.61569,                0.68371,                0.27516,                 2.1947,                0.85542,                 1.0196,              0.0010065,              0.0010065,              0.0010065
                     97,                 2.0799,                0.90678,                0.99171,                0.70979,                0.61569,                0.68371,                0.27516,                 2.1947,                0.85542,                 1.0196,              0.0010076,              0.0010076,              0.0010076
                     98,                 2.0011,                0.88419,                 1.0711,                0.70979,                0.61569,                0.68371,                0.27516,                 2.1947,                0.85542,                 1.0196,              0.0010085,              0.0010085,              0.0010085
                     99,                 2.1578,                0.93923,                 1.0333,                0.70979,                0.61569,                0.68371,                0.27516,                 2.1947,                0.85542,                 1.0196,              0.0010092,              0.0010092,              0.0010092
                    100,                   2.07,                0.91367,                  1.008,                0.73614,                0.63529,                0.71825,                0.28926,                 2.1636,                0.84149,                 1.0147,              0.0010097,              0.0010097,              0.0010097
                    101,                 2.0772,                0.92341,                 1.0146,                0.73614,                0.63529,                0.71825,                0.28926,                 2.1636,                0.84149,                 1.0147,                0.00101,                0.00101,                0.00101
                    102,                 2.2409,                0.95225,                 1.0009,                0.73614,                0.63529,                0.71825,                0.28926,                 2.1636,                0.84149,                 1.0147,              0.0010001,              0.0010001,              0.0010001
                    103,                 2.0538,                0.91085,                 1.0108,                0.73614,                0.63529,                0.71825,                0.28926,                 2.1636,                0.84149,                 1.0147,              0.0009902,              0.0009902,              0.0009902
                    104,                 2.0879,                0.93322,                0.99477,                0.73244,                0.63339,                0.70495,                0.29572,                 2.1261,                0.83038,                 1.0077,              0.0009803,              0.0009803,              0.0009803
                    105,                 2.0337,                0.89128,                 1.0017,                0.73244,                0.63339,                0.70495,                0.29572,                 2.1261,                0.83038,                 1.0077,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.9558,                0.87018,                 1.0543,                0.73244,                0.63339,                0.70495,                0.29572,                 2.1261,                0.83038,                 1.0077,              0.0009605,              0.0009605,              0.0009605
